PC: 800039FC | R00: 0000000000000000 | R01: FFFFFFFFFFFFFFFC | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80015890 | R27: 000000000000FF00 | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  MTCz | 
PC: 80003A00 | R00: 0000000000000000 | R01: FFFFFFFFFFFFFFFC | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80015890 | R27: 000000000000FF00 | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  SD | 
PC: 80003A04 | R00: 0000000000000000 | R01: FFFFFFFFFFFFFFFC | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80015890 | R27: 000000000000FF00 | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  SD | 
PC: 80003A08 | R00: 0000000000000000 | R01: FFFFFFFFFFFFFFFC | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80015890 | R27: 000000000000FF00 | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  SD | 
PC: 80003A0C | R00: 0000000000000000 | R01: FFFFFFFFFFFFFFFC | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80015890 | R27: 000000000000FF00 | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  SW | 
PC: 80003A10 | R00: 0000000000000000 | R01: FFFFFFFFFFFFFFFC | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 000000000000FF01 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80015890 | R27: 000000000000FF00 | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  MFCz | 
PC: 80003A14 | R00: 0000000000000000 | R01: FFFFFFFFFFFFFFFC | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: 0000000010000400 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80015890 | R27: 000000000000FF00 | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  OR | 
PC: 80003A18 | R00: 0000000000000000 | R01: FFFFFFFFFFFFFFFC | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: FFFFFFFF80015890 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80015890 | R27: 000000000000FF00 | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  LUI | 
PC: 80003A1C | R00: 0000000000000000 | R01: FFFFFFFFFFFFFFFC | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: FFFFFFFF80015890 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80010000 | R27: 000000000000FF00 | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  LW | 
PC: 80003A20 | R00: 0000000000000000 | R01: FFFFFFFFFFFFFFFC | R02: 0000000000000001 | R03: FFFFFFFF800145D0 | R04: 0000000000000001 | R05: FFFFFFFF8001360C | R06: 0000000000000001 | R07: FFFFFFFFB3FF0020 | R08: FFFFFFFF80015890 | R09: 0000000000000000 | R10: 0000000000000001 | R11: FFFFFFFF8000AD40 | R12: 0000000000000001 | R13: FFFFFFFF800145A8 | R14: 0000000000000000 | R15: 0000000000000001 | R16: 0000000000000001 | R17: 0000000000000002 | R18: FFFFFFFF8000ADC6 | R19: 0000000000000000 | R20: FFFFFFFF80014510 | R21: 000000000FFFFFFC | R22: FFFFFFFFB3FF0020 | R23: 0000000000000003 | R24: 0000000000000000 | R25: FFFFFFFF800145A8 | R26: FFFFFFFF80012D60 | R27: 000000000000FF00 | R28: 0000000000000000 | R29: FFFFFFFF800135C8 | R30: FFFFFFFFFFFF0020 | R31: FFFFFFFF800033A0 |  LD | 
